diet,taxon,species,id,measure,prox,med,dist
Omnivorous,Rodent,Thaptomys nigrita,t2,crypt width,0.03225622106481482,0.03392442810457516,0.0446205519244735
Omnivorous,Rodent,Thaptomys nigrita,t3,crypt width,NA,0.03327723311546841,0.035266013071895426
Omnivorous,Rodent,Akodon montensis,Ak1,enterocyte density,32987651.35545681,22888295.729044493,11842951.609041601
Omnivorous,Rodent,Akodon montensis,Ak2,enterocyte density,26616240.73424477,13246606.94275365,16166473.05068806
Omnivorous,Rodent,Akodon montensis,Ak3,enterocyte density,27911202.58684324,21220442.449250903,11972685.291947935
Omnivorous,Rodent,Akodon montensis,Ak4,enterocyte density,18549343.23089216,30386933.156047367,18188591.40309896
Herbivorous,Bat,Artibeus lituratus,Ar1,enterocyte density,52206992.24395243,32590755.688941773,33129635.547500752
Herbivorous,Bat,Artibeus lituratus,Ar2,enterocyte density,33023252.011618163,37786819.93631182,30802182.172937527
Herbivorous,Bat,Artibeus lituratus,Ar3,enterocyte density,28110586.158569857,36169841.05909967,24313905.160773877
Herbivorous,Bat,Carollia perspicillata,Cp1,enterocyte density,82207254.13750805,76353963.90735608,70517644.21870272
Herbivorous,Bat,Carollia perspicillata,Cp2,enterocyte density,73087921.67093468,49210901.14424319,64030413.55826427
Herbivorous,Bat,Carollia perspicillata,Cp3,enterocyte density,64815925.20700753,85301002.70163251,51799804.69650883
Herbivorous,Bat,Carollia perspicillata,Cp4,enterocyte density,90866291.47119391,82832301.18105826,42578777.298416086
Omnivorous,Rodent,Delomys sublineatus,Ds1,enterocyte density,26084948.631946575,29966646.49633915,NA
Omnivorous,Rodent,Delomys sublineatus,Ds2,enterocyte density,36461464.30887254,21665745.69804178,14272244.721801106
Omnivorous,Rodent,Delomys sublineatus,Ds3,enterocyte density,26959395.527997352,22480357.419931322,19492492.95736354
Protein,Bat,Desmodus rotundus,Dr1,enterocyte density,47844275.16204505,41730957.8985039,34720731.62225518
Protein,Bat,Desmodus rotundus,Dr2,enterocyte density,37353877.370448895,42388446.070766374,34016408.64928715
Protein,Bat,Desmodus rotundus,Dr3,enterocyte density,31062126.13281311,45063618.16152716,34387914.307476245
Protein,Bat,Eptesicus fuscus,Eptesicus1,enterocyte density,49720920.90722845,34147899.11452869,24612843.214287404
Protein,Bat,Eptesicus fuscus,Eptesicus2,enterocyte density,48152925.16396516,31163548.121159382,19082958.260560796
Protein,Bat,Eptesicus fuscus,Eptesicus3,enterocyte density,34905194.80555971,33030102.788993627,22886355.637214478
Protein,Bat,Eumops glaucinus,Eg,enterocyte density,70331189.08225043,54809791.876699194,26926322.76328473
Protein,Rodent,Euryoryzomys russatus,E1,enterocyte density,41092347.986341946,33288329.10874792,23990805.943993412
Protein,Rodent,Euryoryzomys russatus,E2,enterocyte density,40949406.03278377,29305363.528928574,17879546.585493557
Protein,Rodent,Euryoryzomys russatus,E3,enterocyte density,33316474.997141514,20656631.270098004,18018431.37324389
Herbivorous,Rodent,Microtus pennsylvanicus,Microtus1,enterocyte density,24131519.523607947,24403144.332275223,18786690.67748046
Herbivorous,Rodent,Microtus pennsylvanicus,Microtus2,enterocyte density,20427516.085665066,23588471.253948655,22528182.053878292
Herbivorous,Rodent,Microtus pennsylvanicus,Microtus3,enterocyte density,24582336.542449087,22212556.9202955,19923794.463427313
Herbivorous,Rodent,Microtus pennsylvanicus,Microtus4,enterocyte density,23685297.170795146,22414838.801026218,16005071.641462335
Herbivorous,Rodent,Microtus pennsylvanicus,Microtus5,enterocyte density,17881224.999866452,27910229.135038868,20742940.60816476
Protein,Bat,Molossus molossus,Mmo1,enterocyte density,34849517.305102706,62957114.40895827,25680859.589928113
Protein,Bat,Molossus molossus,Mmo2,enterocyte density,47931083.81107145,59990906.09634645,36093447.573399715
Protein,Bat,Molossus molossus,Mmo3,enterocyte density,70524306.92673862,34895416.36718917,70752104.47410578
Protein,Bat,Molossus rufus,Mr,enterocyte density,65980788.31244167,67862263.28324391,48422237.861854054
Omnivorous,Rodent,Mus musculus,Mm1,enterocyte density,68664180.5465015,36544398.44560737,44429643.397793196
Omnivorous,Rodent,Mus musculus,Mm2,enterocyte density,73069718.68162282,58501709.91254379,38824503.68764095
Omnivorous,Rodent,Mus musculus,Mm3,enterocyte density,55888639.31909753,37786977.83895508,25811502.427594326
Omnivorous,Rodent,Mus musculus,Mm4,enterocyte density,85180097.87980112,44298323.18811268,58534954.096451946
Omnivorous,Rodent,Mus musculus,Mm5,enterocyte density,51529658.335902594,52248382.67409974,44950719.58368396
Omnivorous,Rodent,Mus musculus,Mm6,enterocyte density,108588171.39732221,57790162.113237485,41338931.06371275
Protein,Bat,Myotis lucifugus,My1,enterocyte density,21112464.006818373,24100835.277232446,17887185.505456675
Protein,Bat,Myotis lucifugus,My2,enterocyte density,16141050.637725499,17151427.85276446,13920324.545465808
Protein,Bat,Myotis lucifugus,My3,enterocyte density,15953237.418911902,17156529.590832844,12829296.1323958
Herbivorous,Rodent,Olygoryzomys nigripes,o1,enterocyte density,11911935.315642769,19072203.97643851,NA
Herbivorous,Rodent,Olygoryzomys nigripes,o2,enterocyte density,12247063.873473704,18185062.370384187,9622370.184923649
Protein,Rodent,Peromyscus leucopus,P1,enterocyte density,11731751.849066466,10036238.865702149,6018581.331438455
Protein,Rodent,Peromyscus leucopus,P2,enterocyte density,11300375.690548586,13149161.437949393,8722160.810767397
Protein,Rodent,Peromyscus leucopus,P3,enterocyte density,17458694.568597738,12519654.765246756,11126489.182603681
Herbivorous,Rodent,Sooretamys angouya,s1,enterocyte density,35062062.21664255,21642695.583970495,19712434.909439612
Herbivorous,Rodent,Sooretamys angouya,s2,enterocyte density,45363783.98976694,23165143.86222479,16609109.64928953
Protein,Bat,Tadarida brasiliensis,Tb1,enterocyte density,69849973.72694182,76642935.90749685,67379993.04255769
Protein,Bat,Tadarida brasiliensis,Tb2,enterocyte density,74028551.09732486,157499059.28435504,60764470.53066139
Protein,Bat,Tadarida brasiliensis,Tb3,enterocyte density,92088667.38740367,106541992.77547918,112469439.20998362
Protein,Bat,Tadarida brasiliensis,Tb4,enterocyte density,96408412.3759697,183815895.1081743,64640463.39359429
Protein,Bat,Tadarida brasiliensis,Tb5,enterocyte density,114177658.21856543,160064834.1232051,95496731.34444718
Protein,Bat,Tadarida brasiliensis,Tb6,enterocyte density,95137731.96449211,95438483.44005713,50566505.52375537
Protein,Bat,Tadarida brasiliensis,Tb7,enterocyte density,105230744.0615607,149806759.81338468,89558787.39168367
Protein,Bat,Tadarida brasiliensis,Tb8,enterocyte density,124789865.04523814,182066468.58744997,96346863.31850997
Omnivorous,Rodent,Thaptomys nigrita,t1,enterocyte density,23651945.013291594,22986732.63286025,16028444.949797027
Omnivorous,Rodent,Thaptomys nigrita,t2,enterocyte density,32535789.699697822,24107989.29491138,12835096.13924051
Omnivorous,Rodent,Thaptomys nigrita,t3,enterocyte density,NA,16855589.7177163,24950378.918666977
Omnivorous,Rodent,Akodon montensis,Ak1,enterocyte width,0.006701179070112894,0.008177052896321929,0.009390600570293476
Omnivorous,Rodent,Akodon montensis,Ak2,enterocyte width,0.007142989383245137,0.010271132859526818,0.00750615468409586
Omnivorous,Rodent,Akodon montensis,Ak3,enterocyte width,0.007602607169041638,0.00828103670870931,0.007935130241180295
Omnivorous,Rodent,Akodon montensis,Ak4,enterocyte width,0.00898149430712456,0.006048113402449103,0.007990064039083646
Herbivorous,Bat,Artibeus lituratus,Ar1,enterocyte width,0.007465758547008546,0.007676414771739706,0.008107295482295484
Herbivorous,Bat,Artibeus lituratus,Ar2,enterocyte width,0.008444473279110376,0.007706893894953412,0.0070099702125564186
Herbivorous,Bat,Artibeus lituratus,Ar3,enterocyte width,0.009095299145299144,0.008185171245042524,0.008265336538461539
Herbivorous,Bat,Carollia perspicillata,Cp1,enterocyte width,0.005783702104779297,0.005848535285573924,0.0052785365160556985
Herbivorous,Bat,Carollia perspicillata,Cp2,enterocyte width,0.005787094169447111,0.006155423280423279,0.0055730947668343545
