diet,taxon,species,id,gavage,injection,prox,med,dist,nsa,mass
Herbivorous,Rodent,Microtus pennsylvanicus,M_penn_5,NA,NA,11.895733276927928,13.973315134112385,10.701040496195073,17.340283333333335,48.8
Herbivorous,Rodent,Microtus pennsylvanicus,M_penn_6,0.30673309792219783,89.16310153874133,NA,NA,NA,NA,NA
Herbivorous,Rodent,Microtus pennsylvanicus,M_penn_6,NA,NA,15.290239913369428,14.467506079497797,11.690924366186566,13.785876866666666,36.6
Omnivorous,Rodent,Akodon montensis,A_mont_1,NA,NA,12.180775630559907,12.620818653630215,8.830265467983958,24.26383333333333,32.5
Omnivorous,Rodent,Akodon montensis,A_mont_13,NA,37.219235693825595,NA,NA,NA,NA,NA
Omnivorous,Rodent,Akodon montensis,A_mont_14,14.6161797646418,NA,NA,NA,NA,NA,NA
Omnivorous,Rodent,Akodon montensis,A_mont_2,NA,NA,11.291341865889764,11.548107511543458,7.830347522574836,27.56,32.5
Omnivorous,Rodent,Akodon montensis,A_Mont_29,NA,45.8326706351604,NA,NA,NA,NA,NA
Omnivorous,Rodent,Akodon montensis,A_mont_3,NA,NA,13.206073181803244,12.002286066131314,6.622486407442757,27.53133333333333,31.2
Omnivorous,Rodent,Akodon montensis,A_Mont_32,24.469025523506026,70.41739062199508,NA,NA,NA,NA,NA
Omnivorous,Rodent,Akodon montensis,A_Mont_34,16.780973504765974,NA,NA,NA,NA,NA,NA
Omnivorous,Rodent,Akodon montensis,A_Mont_35,12.796618958500217,45.73789981745436,NA,NA,NA,NA,NA
Omnivorous,Rodent,Akodon montensis,A_Mont_36,12.436795758897084,36.77847561337768,NA,NA,NA,NA,NA
Omnivorous,Rodent,Akodon montensis,A_mont_4,NA,NA,12.259372374909205,9.300885423850708,9.744239674179902,29.605333333333334,32.06666666666667
Omnivorous,Rodent,Akodon montensis,A_Mont_41,16.387951773244875,42.52369366850271,NA,NA,NA,NA,NA
