taxon,diet,species,pos,log_intestinal_diameter,villus_height,villus_width,crypt_width,sef,enterocyte_diameter,log_enterocyte_density,log_mass
Bat,Herbivorous,Artibeus lituratus,dist,-0.5097131858137082,0.5351199631519274,0.08741787037037038,0.029338773213189173,12.706657661365558,0.007794200744437814,17.188531280743316,4.238070309447957
Bat,Herbivorous,Artibeus lituratus,med,-0.6924229013340979,0.7537492777777779,0.08394935185185186,0.03747325430074612,18.589140624788257,0.007856159970578548,17.383582122932697,4.238070309447957
Bat,Herbivorous,Artibeus lituratus,prox,-0.42266008883342787,0.8865070833333334,0.11106527777777778,0.030200902589822855,20.25062890266379,0.00833517699047269,17.411702089206937,4.238070309447957
Bat,Herbivorous,Carollia perspicillata,dist,-0.3544309334125457,0.4735641135620915,0.07392321932560904,0.030379934056956118,13.52834627508793,0.0053456178658865365,17.84400142196885,2.85199308880006
Bat,Herbivorous,Carollia perspicillata,med,-0.26387516698901686,0.6314656753464485,0.07040363493750826,0.028320894607843136,18.949127795058068,0.005697810451672848,18.089135413078502,2.85199308880006
Bat,Herbivorous,Carollia perspicillata,prox,-0.22236915246106698,0.6933165521624133,0.06772192861519608,0.02961691176470588,20.251557048354286,0.0057131222098157405,18.160972334199464,2.85199308880006
Bat,Protein,Desmodus rotundus,dist,-0.6992362078432001,0.4670519893142442,0.06118677075768579,0.03818608776844071,12.193410789988286,0.006537911954784723,17.352805608480423,3.645569207479062
Bat,Protein,Desmodus rotundus,med,-0.6039992971563531,0.5060228758169935,0.07224609658678285,0.036830921257391853,12.757021976322253,0.006005778647036817,17.57757532599543,3.645569207479062
Bat,Protein,Desmodus rotundus,prox,-0.46663367105872305,0.49314596949891065,0.07584258351488743,0.037793851367707576,12.191498720790486,0.006231776396757664,17.45696970969983,3.645569207479062
Bat,Protein,Eptesicus fuscus,dist,-0.5461473483444321,0.31337333333333334,0.07337,0.037783333333333335,8.05410886081292,0.006530629671192523,16.90971222362145,2.7283848506207966
Bat,Protein,Eptesicus fuscus,med,-0.5631382457593194,0.44512666666666667,0.07423666666666667,0.038906666666666666,11.007249486960976,0.006337961211664552,17.3046337241334,2.7283848506207966
Bat,Protein,Eptesicus fuscus,prox,-0.345811522691434,0.57143,0.07237333333333333,0.036526666666666666,14.751289661524824,0.006396416469998665,17.59332500537565,2.7283848506207966
Bat,Protein,Eumops glaucinus,dist,-0.3638434334173448,0.39392745098039217,0.045774976657329595,0.03336013071895425,12.183111899586724,0.007379883805374,17.1086149074986,3.5304697173662944
Bat,Protein,Eumops glaucinus,med,-0.16251892949777494,0.485688888888889,0.06091143790849672,0.024799927378358746,16.60291245246597,0.006117106976257302,17.819379419837553,3.5304697173662944
Bat,Protein,Eumops glaucinus,prox,-0.267879445155601,0.4830798366013072,0.050362745098039216,0.016808823529411765,22.006225222888723,0.006248700896480597,18.06872591532527,3.5304697173662944
Bat,Protein,Molossus molossus,dist,-0.5892367854407093,0.3531326313241346,0.04897666122004357,0.03259930679342444,11.097517917100785,0.005712134158520605,17.512523749260897,2.5920765436283633
Bat,Protein,Molossus molossus,med,-0.5292280216688863,0.4167607116920843,0.05925121641249092,0.03225882352941176,12.297615746036923,0.0054270140590265865,17.74517797163096,2.5920765436283633
Bat,Protein,Molossus molossus,prox,-0.5859929624563089,0.4647809095860566,0.05913513071895425,0.03005071961444511,14.311998954445107,0.006042474275267683,17.70776420504953,2.5920765436283633
Bat,Protein,Molossus rufus,dist,-0.44238846221276207,0.5740394176136364,0.061693214312240056,0.030888888888888893,17.082618644432188,0.006592120551924474,17.695469726123118,3.5139306516493947
Bat,Protein,Molossus rufus,med,-0.2711527705005703,0.4992697563874034,0.06570142602495543,0.03129607843137255,14.487171008113268,0.005115232187116862,18.032990669007685,3.5139306516493947
Bat,Protein,Molossus rufus,prox,-0.5842927756478632,0.5079636363636365,0.06674,0.027936528685548287,15.631519157149462,0.005403104805464586,18.00487417144177,3.5139306516493947
Bat,Protein,Myotis lucifugus,dist,-0.8550586790504788,0.32182333333333335,0.06705666666666667,0.037513333333333336,8.53906990361859,0.008245733478767253,16.505232507514826,2.1873005245583292
Bat,Protein,Myotis lucifugus,med,-0.5913463360454,0.38941,0.06970333333333334,0.03832666666666667,10.003436164202551,0.00787425200313505,16.77107947825762,2.1873005245583292
Bat,Protein,Myotis lucifugus,prox,-0.8006115064841708,0.3972233333333333,0.06957666666666666,0.03811333333333333,10.285174871753519,0.00834108088871058,16.682474262933937,2.1873005245583292
Bat,Protein,Tadarida brasiliensis,dist,-0.9024546894438233,0.3450455116088272,0.04142434417788336,0.02166579341103643,14.936640303673013,0.004864931001661259,18.159773936122534,2.633478595930323
Bat,Protein,Tadarida brasiliensis,med,-0.5815111642072486,0.44566448804853304,0.04006587250372621,0.01861600165989953,21.294896601390565,0.004472083139166914,18.70661426803433,2.633478595930323
Bat,Protein,Tadarida brasiliensis,prox,-0.8156330518517153,0.3984426663659051,0.0398920541827755,0.017116559877258807,20.123904341544353,0.005142720713936728,18.367762300857883,2.633478595930323
Rodent,Herbivorous,Microtus pennsylvanicus,dist,-0.34300145745605626,0.432436,0.076914,0.037294,10.713544100050376,0.00814280156939031,16.784498974659936,3.7534121070132613
Rodent,Herbivorous,Microtus pennsylvanicus,med,-0.29646297283233075,0.582862,0.086242,0.039144,13.32243315238755,0.008231635163259634,16.994479413140724,3.7534121070132613
Rodent,Herbivorous,Microtus pennsylvanicus,prox,-0.4558256253248858,0.601934,0.093946,0.042884,12.620099268253705,0.008355315262007825,16.90571767613523,3.7534121070132613
