taxon,diet,species,stat,int_length_mass,log_mass,log_total_enterocytes,nsa_mass,vill_area_mass
Rodent,Herbivorous,Oligoryzomys nigripes,mean,4.878963359507489,3.5694663560360747,18.962526356840684,0.848687579229294,4.571317617976225
Rodent,Herbivorous,Oligoryzomys nigripes,se,0.013388347666602128,0.4409529712482651,0.21278145110219346,0.03377656889269737,0.9377904382651846
Rodent,Herbivorous,Sooretamys angouya,mean,7.438091281632685,4.629240162402014,20.715623700734284,1.2481918462405657,10.185807921588026
Rodent,Herbivorous,Sooretamys angouya,se,1.2740658432892513,0.12003036755983397,0.10224299643017608,0.26785017723084525,0.11837098959033465
Rodent,Omnivorous,Akodon montensis,mean,10.998212519493551,3.4676788356225927,20.105048212051887,2.0224505512719837,20.254991458219934
Rodent,Omnivorous,Akodon montensis,se,0.7275689627637099,0.009621946712094561,0.06081586295535431,0.08755468108361608,0.7163368610803175
Rodent,Omnivorous,Delomys sublineatus,mean,6.606865110905976,4.274825863354786,20.370679873319265,1.177568651961468,8.371904257137555
Rodent,Omnivorous,Delomys sublineatus,se,0.20254443861130647,0.045098604517356464,0.06413087338232465,0.06667044236710198,0.5807958932897844
Rodent,Omnivorous,Mus musculus,mean,11.201306319422095,3.6104363630737035,21.091874576809694,1.8778519216116758,17.966748357035453
Rodent,Omnivorous,Mus musculus,se,0.2521151491880414,0.05400476508130678,0.0801169053073855,0.09942676305749211,1.38309282359973
Rodent,Omnivorous,Thaptomys nigrita,mean,10.643073925829654,3.2321089474717444,19.791889564703528,1.6894902081576184,12.256660848601262
Rodent,Omnivorous,Thaptomys nigrita,se,1.0893969922847098,0.03642258039932372,0.07378795612113039,0.1845124182582268,0.6037382718404753
Rodent,Protein,Euryoryzomys russatus,mean,4.007212944047315,5.055780692097801,20.785658824608372,0.8895893431699208,9.900845671379725
Rodent,Protein,Euryoryzomys russatus,se,0.2566197218565507,0.03606490422773478,0.099624573207516,0.11350125112960549,0.5767604283909267
Rodent,Protein,Peromyscus leucopus,mean,6.453146840856608,3.2454073606320524,18.94642148260159,1.365541006426904,11.038474156783966
Rodent,Protein,Peromyscus leucopus,se,0.24498200212083343,0.032753761870257914,0.02628038972287032,0.1077070876074013,0.4706942205074743
Rodent,NA,Microtus pennsylvanicus,mean,5.4667724452046045,3.7534121070132613,19.724606723877073,1.0233507545036007,12.466868975890357
Rodent,NA,Microtus pennsylvanicus,se,0.3662762840918957,0.09604091285982698,0.08391324962534816,0.07029213641670227,0.970664675899104
Bat,Herbivorous,Artibeus lituratus,mean,8.805098016785278,4.238070309447957,20.660122270368962,1.181053754498048,20.023560352828763
Bat,Herbivorous,Artibeus lituratus,se,0.5014823749691194,0.06638258518894152,0.01919735701715017,0.13108197549217784,1.7349088637637018
Bat,Herbivorous,Carollia perspicillata,mean,2.7553169225877068,2.85199308880006,19.895622880056706,0.7795059163450807,13.496559825278851
Bat,Herbivorous,Carollia perspicillata,se,0.236861673027724,0.13993437381509513,0.04251232229743453,0.09634334514649678,1.362456011431982
Bat,Protein,Desmodus rotundus,mean,4.29808600566188,3.645569207479062,19.790861057752466,0.6859163452340875,8.102491685855487
Bat,Protein,Desmodus rotundus,se,0.2292751869386756,0.07124157898577022,0.13611583430899418,0.10831986183012544,1.3562289085963495
Bat,Protein,Eumops glaucinus,mean,2.6309848589687594,3.5304697173662944,19.783754784216242,0.5887987008369117,9.735917245651464
Bat,Protein,Eumops glaucinus,se,0.4252582401218341,0.10433627886791362,0.09798214971059623,0.10911180996395616,0.9377904382651846
Bat,Protein,Molossus molossus,mean,3.598150610254979,2.5920765436283633,19.39621099298283,0.8258008539896402,9.841442175466172
Bat,Protein,Molossus molossus,se,0.3343988654548614,0.10119837189169208,0.2194170834707376,0.08702693521511846,1.0727398935410957
Bat,Protein,Molossus rufus,mean,4.144330937770851,3.5139306516493947,20.314032026126203,0.7925279665734278,11.988389787353803
Bat,Protein,Molossus rufus,se,0.4252582401218341,0.10433627886791362,0.09798214971059623,0.10911180996395616,0.9377904382651846
Bat,Protein,Myotis lucifugus,mean,5.875709860833264,2.1873005245583292,18.556634167289413,1.3061384030813112,11.822765171144354
Bat,Protein,Myotis lucifugus,se,0.1710973650630141,0.18253848139651505,0.041997845164122624,0.08179562323902215,1.116808165769208
Bat,Protein,Tadarida brasiliensis,mean,5.83402686905339,2.633478595930323,20.47348593088518,1.1056900307472688,20.49779409239466
Bat,Protein,Tadarida brasiliensis,se,0.15914637433352985,0.039201362317147326,0.12045817749747999,0.06524474137435016,1.3378221918877804
Bat,NA,Eptesicus fuscus,mean,4.0269456594461825,2.7283848506207966,19.234972326773093,0.9469174185736531,9.977593178450633
Bat,NA,Eptesicus fuscus,se,0.7449122602895208,0.1978928938154563,0.1843215177593217,0.1446849510823189,0.6654383747895045
