dietOmnivorous	dietProtein	sef
1	0	10.619749981708273
0	0	17.182142396272535
0	0	17.57634370616676
1	0	7.7100834786714305
0	1	12.380643829033675
0	1	16.930749858313806
0	1	11.794694336479726
0	1	12.569044205860937
0	1	15.73376960323164
1	0	9.931199419953963
0	1	9.609226979858219
0	0	10.315152557493814
0	1	8.809965982480062
0	0	8.797123031172038
0	1	18.78514708220264
1	0	6.914366817011099
